FG%,TRB,PTS
.487,46.2,114.9
.476,48.6,110.2
.464,44.2,106.6
.452,43.1,106.5
.439,44.9,105.7
.450,45.5,105.1
.465,42.0,104.5
.460,44.5,104.3
.460,41.8,104.1
.484,43.9,103.5
.439,43.9,103.4
.458,42.1,102.8
.448,42.6,102.7
.451,43.4,102.7
.464,41.6,102.4
.444,43.1,102.3
.450,44.2,102.2
.455,43.3,102.1
.439,46.3,102.0
.442,44.6,101.9
.441,46.3,101.6
.435,44.8,100.9
.470,44.1,100.0
.440,41.6,99.1
.467,41.7,99.0
.453,42.4,98.6
.439,44.4,98.4
.449,43.2,97.7
.431,41.2,97.4
.414,43.0,97.3
.452,43.8,102.7
